id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
21566865,59789520,Linda,Mission Bay,32.80131,-117.22058,Entire home/apt,60,120,2,1,208,0
2575335,11131047,Brita,La Jolla,32.83004,-117.26658,Private room,170,3,135,2,238,16
7.82E+17,356759342,Marceli,Southwest,32.59979363,-117.0515793,Private room,59,30,2,1,157,2
3120158,15851182,Karen,La Jolla,32.84259,-117.26716,Private room,150,1,1,1,144,0
8.16E+17,325593778,Craig,University City,32.84279149,-117.2332833,Entire home/apt,258,2,4,4,127,4
7.68E+17,47804100,Erika,La Jolla Village,32.8619192,-117.2331678,Entire home/apt,122,6,0,1,155,0
50770814,38613171,Matt,Bay Ho,32.83435,-117.22554,Entire home/apt,128,2,105,2,351,65
6.83E+17,190132120,Sadie,Clairemont Mesa,32.8220954,-117.1742897,Entire home/apt,295,3,12,2,205,12
46007752,270127613,Nathan,Pacific Beach,32.80544,-117.22124,Entire home/apt,273,2,87,15,180,36
7.06E+17,128312500,Bluffside,University City,32.8482,-117.22505,Entire home/apt,299,2,24,5,293,24
9809517,50526077,Dana & Becky,La Jolla,32.84778,-117.27637,Entire home/apt,199,30,1,24,344,0
5.53E+17,156086844,Southern California Rentals,Clairemont Mesa,32.80617,-117.18061,Entire home/apt,237,30,0,24,365,0
53007756,46111373,Patricia,Loma Portal,32.75016,-117.2191,Entire home/apt,230,3,18,3,129,16
48427188,146164300,Ameneh,Rolando,32.76818,-117.05022,Entire home/apt,161,30,0,5,90,0
6.60E+17,55489477,Kristina,Bay Park,32.80382,-117.20863,Entire home/apt,357,1,21,1,334,21
6.30E+17,459942528,Jennifer,Linda Vista,32.79435,-117.17719,Entire home/apt,110,28,2,1,287,2
54399388,23950695,Houman,Rolando,32.76111,-117.05969,Private room,65,10,7,6,263,6
6.18E+17,82180707,David,Bay Park,32.78337,-117.20746,Entire home/apt,110,7,11,5,150,11
48399763,58384956,Victoria,University City,32.862,-117.22721,Entire home/apt,171,5,7,1,99,3
49183255,326329801,Lawrence,Bay Park,32.80452,-117.19853,Entire home/apt,134,2,41,9,157,20
53189153,429429981,Vacasa California,La Jolla,32.82827,-117.27373,Entire home/apt,160,3,10,122,357,8
28772563,102607334,Ronit,University City,32.85594,-117.23088,Entire home/apt,167,6,37,2,120,13
23963146,90305297,Tom,La Jolla,32.8445,-117.27684,Entire home/apt,180,31,9,1,156,2
6.60E+17,271362286,Erica,Darnall,32.74625,-117.05737,Entire home/apt,309,2,6,3,151,6
5.78E+17,39043380,Roberta,Bay Park,32.80141,-117.20014,Entire home/apt,134,31,24,1,82,24
