id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1633173,8676376,Herbert,Excelsior,37.72686,-122.42014,Private room,39,30,236,5,206,0
964751,674976,Phil,Inner Richmond,37.77815,-122.45789,Entire home/apt,103,30,285,3,177,5
1633225,8676376,Herbert,Excelsior,37.72526,-122.4187,Private room,69,30,145,5,182,0
1633933,484257,Jean-Michel,Haight Ashbury,37.77206,-122.45181,Entire home/apt,250,30,97,1,279,0
1277771,6954280,Christine,Inner Richmond,37.78528,-122.47445,Entire home/apt,180,3,684,2,163,83
1281167,6346492,Dana,Downtown/Civic Center,37.78878,-122.4106,Private room,196,1,166,29,0,0
968037,2548643,Thomas,North Beach,37.80017,-122.40334,Entire home/apt,225,30,93,1,365,2
1641060,6869592,Sharon,West of Twin Peaks,37.73875,-122.46224,Entire home/apt,225,3,114,1,333,24
980397,5148234,Tom,Bernal Heights,37.7334,-122.41832,Entire home/apt,500,1,46,1,264,3
980783,5371124,Katie,Potrero Hill,37.76249,-122.40307,Entire home/apt,181,30,168,1,197,5
